wp_post_id,name,price,lessons_count
957,Soft Skills in IT,000,00
957,Data Science for non-technical,000,00
962,ТЕХНИКИ РЕЧИ,50,8
962,"Искусство ""присваивания"" ролей, оживляем персонажа",80,10
964,Основной курс Актерского мастерства,80,24
964,Актерское мастерство для кино,220,8
966,СВОБОДА ИМПРОВИЗАЦИИ,50,5
966,ПЕРФОРМАНС,100,8
966,ИНТЕНСИВ АКТЕРСКОГО МАСТЕРСТВА,250,18
966,Курс для девочек “Моя идеальная Я”,000,00
966,“ГОВОРИ КРАСИВО”,000,00
966,“Ораторское мастерство”,000,00
966,“Личная Эффективность по системе Станиславского”,000,00
966,“ЭНЕРГЕТИК”,000,00
966,“ИМПРОВИЗАЦИЯ”,000,00
966,“МОНОЛОГИ”,000,00
966,“ЭТЮДЫ”,000,00
966,“Театр.Проект”,000,00
966,“ПЕРФОРМАНС”,000,00
966,ЭСТРАДНЫЕ МОНОЛОГИ,000,00
2885,Front-End basic,123,30
2885,Front-End Advanced,106,30
2885,Python Basic,105,30
2885,Python Advanced,133,30
2885,Java,120,30
2885,UI/UX Design,126,30
2885,QA (manual),120,30
2888,Профессиональные курсы,190,120
2888,"Лидерство, руководство",113,60
2888,HR – МЕНЕДЖМЕНТ,127,60
2888,"Психология, личностное развитие",116,60
2888,"Коммуникации, работа с клиентами",116,60
2888,Консультации,28,30
2939,Бизнес-тренинги,53,120
2957,Пошив обуви,000,45
2962,Курс кроя и шитья верхней одежды,107,30
2962,Курс кроя и шитья Блузки и платье,77,45
2962,Курс конструирования и моделирования одежды,125,90
2962,Курс технологии обработки швейных изделий,107,60
2962,Курс кроя и шитья мужской одежды,111,60
2962,Курс кроя и шитья трикотажных изделий,107,60
2962,Курс технологии пошива одежды из кожи,78,30
2962,Курс «Fashion иллюстрации»,114,60
2962,Курс «Стилист одежды»,118,60
2962,Курс «Вязание для начинающих»,86,90
2962,Курс «Нижнее белье & трикотаж»,204,90
2965,Курс «Дизайн одежды»,1290,300
2967,Курс «Базовый курс пошива нижнего белья»,95,45
